ts,observer,event,slot,hash,issuer_vkey,body_size,n_txs
2026-05-16T15:19:02Z,dugite-bp,forge,250,f3223cd1c52697b22e72b9993ea45ba955f04afec12ec2c465385aeb0faa3b95,,,
2026-05-16T15:19:03Z,dugite-relay,recv,250,f3223cd1c52697b22e72b9993ea45ba955f04afec12ec2c465385aeb0faa3b95,,,
2026-05-16T15:19:03.27547Z,cardano-bp,recv,250,f3223cd1c52697b22e72b9993ea45ba955f04afec12ec2c465385aeb0faa3b95,,,
2026-05-16T15:19:05.003364Z,cardano-bp,forge,253,5ad1deefaf735af4ddf216d7b5b14db5da176b8ec60acfc08b9370395126d519,,,
2026-05-16T15:19:05.006042Z,cardano-bp,recv,253,5ad1deefaf735af4ddf216d7b5b14db5da176b8ec60acfc08b9370395126d519,,,
2026-05-16T15:19:05.006303Z,cardano-bp,forge,253,5ad1deefaf735af4ddf216d7b5b14db5da176b8ec60acfc08b9370395126d519,,,
2026-05-16T15:19:05Z,dugite-relay,recv,253,5ad1deefaf735af4ddf216d7b5b14db5da176b8ec60acfc08b9370395126d519,,,
2026-05-16T15:19:06Z,dugite-bp,forge,254,2a4e6561ab18a6d3cf31966b61a5240d46963ffc0117794d0fe686274aa20b40,,,
2026-05-16T15:19:06Z,dugite-bp,recv,253,5ad1deefaf735af4ddf216d7b5b14db5da176b8ec60acfc08b9370395126d519,,,
2026-05-16T15:19:11Z,dugite-bp,forge,259,6f9c5b436cb9bcb309c9bfd61a747f0576cb0dcada5bdde50f8fe69d43dbb9fe,,,
2026-05-16T15:19:11Z,dugite-relay,recv,259,6f9c5b436cb9bcb309c9bfd61a747f0576cb0dcada5bdde50f8fe69d43dbb9fe,,,
2026-05-16T15:19:11.275046Z,cardano-bp,recv,259,6f9c5b436cb9bcb309c9bfd61a747f0576cb0dcada5bdde50f8fe69d43dbb9fe,,,
2026-05-16T15:19:21Z,dugite-bp,forge,269,b7ec52140d7bbea7d925576e7568ecc51c10b97504fbe98bb89d03e1fb109ebc,,,
2026-05-16T15:19:21Z,dugite-relay,recv,269,b7ec52140d7bbea7d925576e7568ecc51c10b97504fbe98bb89d03e1fb109ebc,,,
2026-05-16T15:19:21.274353Z,cardano-bp,recv,269,b7ec52140d7bbea7d925576e7568ecc51c10b97504fbe98bb89d03e1fb109ebc,,,
2026-05-16T15:19:32.003011Z,cardano-bp,forge,280,83254fe5c3467fbebdf71f68e75c23e3360484e6873d9d3645648db913bab892,,,
2026-05-16T15:19:32.004557Z,cardano-bp,recv,280,83254fe5c3467fbebdf71f68e75c23e3360484e6873d9d3645648db913bab892,,,
2026-05-16T15:19:32.005017Z,cardano-bp,forge,280,83254fe5c3467fbebdf71f68e75c23e3360484e6873d9d3645648db913bab892,,,
2026-05-16T15:19:33Z,dugite-relay,recv,280,83254fe5c3467fbebdf71f68e75c23e3360484e6873d9d3645648db913bab892,,,
2026-05-16T15:19:34Z,dugite-bp,recv,280,83254fe5c3467fbebdf71f68e75c23e3360484e6873d9d3645648db913bab892,,,
2026-05-16T15:19:35.002105Z,cardano-bp,forge,283,6b4f44a9a0a800275de27d808cf08e751ef682312537944c4174dba7efa09d2b,,,
2026-05-16T15:19:35.002931Z,cardano-bp,recv,283,6b4f44a9a0a800275de27d808cf08e751ef682312537944c4174dba7efa09d2b,,,
2026-05-16T15:19:35.003178Z,cardano-bp,forge,283,6b4f44a9a0a800275de27d808cf08e751ef682312537944c4174dba7efa09d2b,,,
2026-05-16T15:19:35Z,dugite-relay,recv,283,6b4f44a9a0a800275de27d808cf08e751ef682312537944c4174dba7efa09d2b,,,
2026-05-16T15:19:36Z,dugite-bp,forge,284,7bae836084b3f563aa976ff126f88ff7ba4f30382970e202d9d0422ca7cbe72e,,,
