ts,node,slot,block_no,hash,era
2026-05-16T15:18:00Z,relay,187,25,3461426a55cd45735e0ea9d0c061d358733681b6030292af5990da7e2e628a12,Conway
2026-05-16T15:18:00Z,dugite-bp,187,25,3461426a55cd45735e0ea9d0c061d358733681b6030292af5990da7e2e628a12,Conway
2026-05-16T15:18:00Z,cardano-bp,188,26,7727c87148bf85ba38540fe4efccdf706bfbac412ab186edd04cf1ef918957f2,Conway
2026-05-16T15:18:05Z,relay,191,27,3a92771a4ff6e7650dadd63afdb78ec959c8c25f91b40665f0a4c83ec1cbcddc,Conway
2026-05-16T15:18:05Z,dugite-bp,191,27,3a92771a4ff6e7650dadd63afdb78ec959c8c25f91b40665f0a4c83ec1cbcddc,Conway
2026-05-16T15:18:05Z,cardano-bp,191,27,3a92771a4ff6e7650dadd63afdb78ec959c8c25f91b40665f0a4c83ec1cbcddc,Conway
2026-05-16T15:18:10Z,relay,191,27,3a92771a4ff6e7650dadd63afdb78ec959c8c25f91b40665f0a4c83ec1cbcddc,Conway
2026-05-16T15:18:10Z,dugite-bp,191,27,3a92771a4ff6e7650dadd63afdb78ec959c8c25f91b40665f0a4c83ec1cbcddc,Conway
2026-05-16T15:18:10Z,cardano-bp,191,27,3a92771a4ff6e7650dadd63afdb78ec959c8c25f91b40665f0a4c83ec1cbcddc,Conway
2026-05-16T15:18:15Z,relay,199,28,e1710db7d2e77a62af06327df08d17e76c7c13d150e2bcfa45fbb8018893e84a,Conway
2026-05-16T15:18:15Z,dugite-bp,199,28,e1710db7d2e77a62af06327df08d17e76c7c13d150e2bcfa45fbb8018893e84a,Conway
2026-05-16T15:18:15Z,cardano-bp,199,28,e1710db7d2e77a62af06327df08d17e76c7c13d150e2bcfa45fbb8018893e84a,Conway
2026-05-16T15:18:21Z,relay,206,29,c65d0863c01d3432a907201b40c8fda83582e4f3076e27abc7a7b18922348c51,Conway
2026-05-16T15:18:21Z,dugite-bp,206,29,c65d0863c01d3432a907201b40c8fda83582e4f3076e27abc7a7b18922348c51,Conway
2026-05-16T15:18:21Z,cardano-bp,206,29,c65d0863c01d3432a907201b40c8fda83582e4f3076e27abc7a7b18922348c51,Conway
2026-05-16T15:18:26Z,relay,213,30,6e59122f7c2d82bcdec924fa5967ec9369a9325c95bc54d8ab36b168bc179dfa,Conway
2026-05-16T15:18:26Z,dugite-bp,213,30,6e59122f7c2d82bcdec924fa5967ec9369a9325c95bc54d8ab36b168bc179dfa,Conway
2026-05-16T15:18:26Z,cardano-bp,213,30,6e59122f7c2d82bcdec924fa5967ec9369a9325c95bc54d8ab36b168bc179dfa,Conway
2026-05-16T15:18:31Z,relay,213,30,6e59122f7c2d82bcdec924fa5967ec9369a9325c95bc54d8ab36b168bc179dfa,Conway
2026-05-16T15:18:31Z,dugite-bp,213,30,6e59122f7c2d82bcdec924fa5967ec9369a9325c95bc54d8ab36b168bc179dfa,Conway
2026-05-16T15:18:31Z,cardano-bp,213,30,6e59122f7c2d82bcdec924fa5967ec9369a9325c95bc54d8ab36b168bc179dfa,Conway
2026-05-16T15:18:36Z,relay,221,31,d79737518365869a97298c0cb0a12e5177c4a2f5205c73fd6a446f3fec74ddc7,Conway
2026-05-16T15:18:36Z,dugite-bp,221,31,d79737518365869a97298c0cb0a12e5177c4a2f5205c73fd6a446f3fec74ddc7,Conway
2026-05-16T15:18:36Z,cardano-bp,221,31,d79737518365869a97298c0cb0a12e5177c4a2f5205c73fd6a446f3fec74ddc7,Conway
2026-05-16T15:18:41Z,relay,221,31,d79737518365869a97298c0cb0a12e5177c4a2f5205c73fd6a446f3fec74ddc7,Conway
2026-05-16T15:18:41Z,dugite-bp,221,31,d79737518365869a97298c0cb0a12e5177c4a2f5205c73fd6a446f3fec74ddc7,Conway
2026-05-16T15:18:41Z,cardano-bp,221,31,d79737518365869a97298c0cb0a12e5177c4a2f5205c73fd6a446f3fec74ddc7,Conway
2026-05-16T15:18:46Z,relay,221,31,d79737518365869a97298c0cb0a12e5177c4a2f5205c73fd6a446f3fec74ddc7,Conway
2026-05-16T15:18:46Z,dugite-bp,221,31,d79737518365869a97298c0cb0a12e5177c4a2f5205c73fd6a446f3fec74ddc7,Conway
2026-05-16T15:18:46Z,cardano-bp,234,32,14fb9fcacb3edccc2d7133d00c51b7a2b7a9ecd1ee55b8ad293fcca86079aa46,Conway
2026-05-16T15:18:52Z,relay,235,32,6c04ec5c8d0b36872185a42eaaecec1d52bf5ccfa034886c256c71947ca82e2f,Conway
2026-05-16T15:18:52Z,dugite-bp,235,32,6c04ec5c8d0b36872185a42eaaecec1d52bf5ccfa034886c256c71947ca82e2f,Conway
2026-05-16T15:18:52Z,cardano-bp,235,32,6c04ec5c8d0b36872185a42eaaecec1d52bf5ccfa034886c256c71947ca82e2f,Conway
2026-05-16T15:18:57Z,relay,235,32,6c04ec5c8d0b36872185a42eaaecec1d52bf5ccfa034886c256c71947ca82e2f,Conway
2026-05-16T15:18:57Z,dugite-bp,235,32,6c04ec5c8d0b36872185a42eaaecec1d52bf5ccfa034886c256c71947ca82e2f,Conway
2026-05-16T15:18:57Z,cardano-bp,235,32,6c04ec5c8d0b36872185a42eaaecec1d52bf5ccfa034886c256c71947ca82e2f,Conway
2026-05-16T15:19:02Z,relay,235,32,6c04ec5c8d0b36872185a42eaaecec1d52bf5ccfa034886c256c71947ca82e2f,Conway
2026-05-16T15:19:02Z,dugite-bp,250,33,f3223cd1c52697b22e72b9993ea45ba955f04afec12ec2c465385aeb0faa3b95,Conway
2026-05-16T15:19:02Z,cardano-bp,235,32,6c04ec5c8d0b36872185a42eaaecec1d52bf5ccfa034886c256c71947ca82e2f,Conway
2026-05-16T15:19:07Z,relay,253,34,5ad1deefaf735af4ddf216d7b5b14db5da176b8ec60acfc08b9370395126d519,Conway
2026-05-16T15:19:07Z,dugite-bp,254,34,2a4e6561ab18a6d3cf31966b61a5240d46963ffc0117794d0fe686274aa20b40,Conway
2026-05-16T15:19:07Z,cardano-bp,253,34,5ad1deefaf735af4ddf216d7b5b14db5da176b8ec60acfc08b9370395126d519,Conway
2026-05-16T15:19:12Z,relay,259,35,6f9c5b436cb9bcb309c9bfd61a747f0576cb0dcada5bdde50f8fe69d43dbb9fe,Conway
2026-05-16T15:19:12Z,dugite-bp,259,35,6f9c5b436cb9bcb309c9bfd61a747f0576cb0dcada5bdde50f8fe69d43dbb9fe,Conway
2026-05-16T15:19:12Z,cardano-bp,259,35,6f9c5b436cb9bcb309c9bfd61a747f0576cb0dcada5bdde50f8fe69d43dbb9fe,Conway
2026-05-16T15:19:17Z,relay,259,35,6f9c5b436cb9bcb309c9bfd61a747f0576cb0dcada5bdde50f8fe69d43dbb9fe,Conway
2026-05-16T15:19:17Z,dugite-bp,259,35,6f9c5b436cb9bcb309c9bfd61a747f0576cb0dcada5bdde50f8fe69d43dbb9fe,Conway
2026-05-16T15:19:17Z,cardano-bp,259,35,6f9c5b436cb9bcb309c9bfd61a747f0576cb0dcada5bdde50f8fe69d43dbb9fe,Conway
2026-05-16T15:19:23Z,relay,269,36,b7ec52140d7bbea7d925576e7568ecc51c10b97504fbe98bb89d03e1fb109ebc,Conway
2026-05-16T15:19:23Z,dugite-bp,269,36,b7ec52140d7bbea7d925576e7568ecc51c10b97504fbe98bb89d03e1fb109ebc,Conway
2026-05-16T15:19:23Z,cardano-bp,269,36,b7ec52140d7bbea7d925576e7568ecc51c10b97504fbe98bb89d03e1fb109ebc,Conway
2026-05-16T15:19:28Z,relay,269,36,b7ec52140d7bbea7d925576e7568ecc51c10b97504fbe98bb89d03e1fb109ebc,Conway
2026-05-16T15:19:28Z,dugite-bp,269,36,b7ec52140d7bbea7d925576e7568ecc51c10b97504fbe98bb89d03e1fb109ebc,Conway
2026-05-16T15:19:28Z,cardano-bp,269,36,b7ec52140d7bbea7d925576e7568ecc51c10b97504fbe98bb89d03e1fb109ebc,Conway
2026-05-16T15:19:33Z,relay,280,37,83254fe5c3467fbebdf71f68e75c23e3360484e6873d9d3645648db913bab892,Conway
2026-05-16T15:19:33Z,dugite-bp,269,36,b7ec52140d7bbea7d925576e7568ecc51c10b97504fbe98bb89d03e1fb109ebc,Conway
2026-05-16T15:19:33Z,cardano-bp,280,37,83254fe5c3467fbebdf71f68e75c23e3360484e6873d9d3645648db913bab892,Conway
